序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄：,3、您的职业：,4、您的月收入（人民币）:,5、您每天使用社交媒体的时长大约是多少？,6、您是否了解始祖鸟（Arc'teryx）品牌？,7、您通过以下哪些渠道接触过始祖鸟品牌?,8、始祖鸟的社交媒体内容对您的吸引力如何?,9、您是否曾与始祖鸟的社交媒体账号互动?,10、您更倾向于哪种互动方式？（可多选）,11、您认为始祖鸟社交媒体互动的体验如何？,12、您对始祖鸟品牌的印象如何？（可多选）,13、始祖鸟社交媒体是否增加了您对品牌的了解？,14、您是否因社交媒体内容购买过始祖鸟产品？,15、您最常通过以下哪种途径购买？（可多选）,16、阻碍您购买的原因是什么？（可多选）,17、您对始祖鸟社交媒体的整体满意度如何？,18、您认为始祖鸟社交媒体内容有哪些需要改进的地方？（可多选）,您对始祖鸟社交媒体营销有哪些建议或想法？请简要描述。
318,2025/4/2 13:52:00,175秒,微信,N/A,111.121.15.143(贵州-贵阳),男,36-45岁,政府机关工作人员,3000-8000元,3-5小时,略有了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,一些,是,(跳过),价格过高┋产品信息不够清楚,非常满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
319,2025/4/2 13:53:17,117秒,微信,N/A,223.74.22.46(广东-清远),男,46岁及以上,企业职员,3000-8000元,1-3小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
320,2025/4/2 13:54:14,119秒,微信,N/A,117.152.220.184(湖北-武汉),女,26-35岁,企业职员,3000-8000元,3-5小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),不太吸引,很少互动,点赞┋评论┋参与话题活动┋观看直播,比较好,专业性强┋价格较高┋产品设计时尚,一般,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),不太满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
321,2025/4/2 13:55:07,121秒,微信,N/A,221.211.1.9(黑龙江-鸡西),女,46岁及以上,企业职员,3000-8000元,3-5小时,非常了解,微信公众号┋小红书┋品牌宫网┋线下店铺,比较吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流┋观看直播,一般,专业性强┋环保可持续┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
322,2025/4/2 13:56:33,138秒,微信,N/A,183.212.113.239(江苏-徐州),男,46岁及以上,企业职员,3000-8000元,1-3小时,不太了解,微博┋小红书┋品牌宫网┋线下店铺,不太吸引,从未互动,点赞┋评论┋参与话题活动┋观看直播,较差,高端户外品牌┋专业性强┋环保可持续┋广告／宣传设计时尚,一些,否,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常不满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
323,2025/4/2 13:57:53,98秒,微信,N/A,180.233.88.57(福建-厦门),男,18岁以下,学生,3000元以下,5小时以上,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一些,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
324,2025/4/2 13:59:59,180秒,微信,N/A,120.235.55.217(广东-东莞),女,18岁以下,学生,3000元以下,少于1小时,略有了解,微信公众号┋小红书┋品牌宫网┋线下店铺,一般,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,非常好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,第三方电商平台（如天猫、京东）┋朋友代购,(跳过),非常满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
325,2025/4/2 14:01:47,175秒,微信,N/A,119.177.41.193(山东-潍坊),女,36-45岁,政府机关工作人员,3000-8000元,少于1小时,非常了解,微信公众号┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,非常好,专业性强┋环保可持续┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),比较满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
326,2025/4/2 14:02:40,133秒,微信,N/A,117.37.51.14(陕西-咸阳),女,26-35岁,其他,3000-8000元,1-3小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,专业性强┋价格较高┋产品设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),比较满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
327,2025/4/2 14:03:54,161秒,微信,N/A,112.2.201.52(江苏-淮安),男,36-45岁,企业职员,3000-8000元,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,(跳过),价格过高┋产品信息不够清楚,一般,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
328,2025/4/2 14:06:22,173秒,微信,N/A,112.8.134.11(山东-淄博),女,18岁以下,学生,3000元以下,3-5小时,非常了解,微信公众号┋小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,官方电商平台┋线下专卖店,(跳过),比较满意,与用户互动性┋信息实用性,(跳过)
329,2025/4/2 14:08:33,113秒,微信,N/A,101.68.189.169(浙江-嘉兴),女,26-35岁,企业职员,3000-8000元,3-5小时,完全不了解,微信公众号┋小红书┋抖音/快手┋线下店铺,完全不吸引,很少互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,较差,专业性强┋环保可持续┋广告／宣传设计时尚,完全没有,否,(跳过),不需要相关产品┋购买流程不便捷,一般,与用户互动性┋信息实用性,(跳过)
330,2025/4/2 14:10:51,118秒,微信,N/A,39.171.211.106(浙江-绍兴),男,46岁及以上,政府机关工作人员,3000-8000元,3-5小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,一般,是,(跳过),不需要相关产品┋购买流程不便捷,一般,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
331,2025/4/2 14:12:08,177秒,微信,N/A,223.89.70.172(河南-三门峡),男,18岁以下,学生,3000元以下,3-5小时,略有了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋参与话题活动┋观看直播,一般,专业性强┋环保可持续┋产品设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),比较满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
332,2025/4/2 14:12:43,133秒,微信,N/A,61.54.21.235(河南-洛阳),男,36-45岁,企业职员,3000-8000元,1-3小时,非常了解,微博┋抖音/快手┋朋友推荐┋线下店铺,比较吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,专业性强┋价格较高┋产品设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),非常满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
333,2025/4/2 14:14:54,105秒,微信,N/A,117.182.205.159(广西-玉林),男,36-45岁,企业职员,3000-8000元,3-5小时,不太了解,微博┋小红书┋品牌宫网┋线下店铺,比较吸引,很少互动,点赞┋评论┋参与话题活动┋私信交流,非常差,专业性强┋价格较高┋产品设计时尚,完全没有,否,(跳过),价格过高┋产品信息不够清楚,一般,与用户互动性┋信息实用性,(跳过)
334,2025/4/2 14:15:29,178秒,微信,N/A,121.29.160.229(河北-石家庄),女,18岁以下,学生,3000元以下,3-5小时,不太了解,微博┋小红书┋朋友推荐┋线下店铺,一般,很少互动,点赞┋评论┋参与话题活动┋观看直播,一般,专业性强┋环保可持续┋广告／宣传设计时尚,较少,否,官方电商平台┋线下专卖店,(跳过),不太满意,与用户互动性┋信息实用性,(跳过)
335,2025/4/2 14:16:05,102秒,微信,N/A,183.156.108.0(浙江-杭州),女,36-45岁,其他,3000-8000元,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,很多,是,(跳过),价格过高┋产品信息不够清楚,比较满意,内容丰富度┋创意和设计感┋客户服务／售后服务,(跳过)
336,2025/4/2 14:16:55,123秒,微信,N/A,123.145.40.239(重庆-重庆),女,26-35岁,其他,3000-8000元,1-3小时,不太了解,微信公众号┋小红书┋抖音/快手┋线下店铺,不太吸引,从未互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,较差,专业性强┋环保可持续┋广告／宣传设计时尚,完全没有,否,(跳过),价格过高┋产品信息不够清楚,非常不满意,与用户互动性┋信息实用性,(跳过)
337,2025/4/2 14:17:54,92秒,微信,N/A,220.248.67.30(上海-上海),男,36-45岁,政府机关工作人员,3000-8000元,1-3小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,比较吸引,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,专业性强┋环保可持续┋广告／宣传设计时尚,很多,是,官方电商平台┋线下专卖店,(跳过),非常满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
338,2025/4/2 14:18:31,132秒,微信,N/A,42.101.196.194(黑龙江-双鸭山),女,36-45岁,企业职员,3000-8000元,3-5小时,不太了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),一般,从未互动,点赞┋评论┋参与话题活动┋私信交流,一般,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,完全没有,否,官方电商平台┋线下专卖店,(跳过),不太满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
339,2025/4/2 14:20:10,153秒,微信,N/A,27.151.238.254(福建-泉州),男,18-25岁,企业职员,3000-8000元,少于1小时,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),一般,偶尔互动,点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,一般,专业性强┋价格较高┋产品设计时尚,一些,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),一般,与用户互动性┋信息实用性,(跳过)
340,2025/4/2 14:22:17,169秒,微信,N/A,60.7.192.105(河北-秦皇岛),女,18-25岁,企业职员,3000-8000元,3-5小时,略有了解,微博┋抖音/快手┋朋友推荐┋线下店铺,非常吸引,偶尔互动,评论┋分享到个人社交圈┋私信交流┋观看直播,比较好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,(跳过),不需要相关产品┋购买流程不便捷,非常满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
341,2025/4/2 14:23:18,98秒,微信,N/A,1.194.56.51(河南-开封),女,18-25岁,其他,3000-8000元,3-5小时,不太了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),完全不吸引,偶尔互动,点赞┋评论┋参与话题活动┋私信交流,非常差,专业性强┋环保可持续┋产品设计时尚,一般,否,(跳过),价格过高┋产品信息不够清楚,不太满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
342,2025/4/2 14:25:14,174秒,微信,N/A,221.234.131.137(湖北-武汉),女,36-45岁,企业职员,3000-8000元,少于1小时,非常了解,微博┋小红书┋品牌宫网┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,一般,高端户外品牌┋价格较高┋产品设计时尚,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),比较满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
343,2025/4/2 14:27:38,164秒,微信,N/A,163.125.220.144(广东-深圳),女,18岁以下,学生,3000元以下,1-3小时,不太了解,微信公众号┋小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),不太吸引,很少互动,点赞┋评论┋参与话题活动┋私信交流,非常差,高端户外品牌┋价格较高┋环保可持续┋广告／宣传设计时尚,一般,否,官方电商平台┋线下专卖店,(跳过),一般,与用户互动性┋信息实用性,(跳过)
344,2025/4/2 14:29:18,121秒,微信,N/A,123.138.186.249(陕西-西安),女,36-45岁,政府机关工作人员,3000-8000元,1-3小时,略有了解,微信公众号┋小红书┋抖音/快手┋线下店铺,一般,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋私信交流┋观看直播,非常好,高端户外品牌┋专业性强┋环保可持续┋广告／宣传设计时尚,一般,是,官方电商平台┋线下专卖店,(跳过),比较满意,内容丰富度┋与用户互动性┋发布频率,(跳过)
345,2025/4/2 14:30:16,124秒,微信,N/A,113.68.239.2(广东-广州),男,18-25岁,学生,3000元以下,1-3小时,略有了解,微博┋抖音/快手┋朋友推荐┋线下店铺,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,比较好,高端户外品牌┋价格较高┋产品设计时尚,很多,是,第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),非常满意,内容丰富度┋信息实用性┋客户服务／售后服务,(跳过)
346,2025/4/2 14:32:25,120秒,微信,N/A,39.149.224.201(河南-信阳),男,18-25岁,企业职员,15000元以上,5小时以上,略有了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),非常吸引,偶尔互动,评论┋分享到个人社交圈┋参与话题活动┋观看直播,非常好,高端户外品牌┋价格较高┋产品设计时尚,一般,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),非常满意,与用户互动性┋信息实用性,(跳过)
347,2025/4/2 14:32:58,136秒,微信,N/A,218.63.91.187(云南-昆明),女,36-45岁,企业职员,3000-8000元,1-3小时,非常了解,微博┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),一般,经常互动(点赞、评论、分享等),点赞┋评论┋参与话题活动┋私信交流,非常好,高端户外品牌┋价格较高┋产品设计时尚,一些,是,第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),比较满意,内容丰富度┋创意和设计感┋发布频率,(跳过)
